DESIGN OF REINFORCED CEMENT CONCRETE ELEMENTS, CE3501,CIVIL,5
FOUNDATION ENGINEERING, CE3503,CIVIL,5
HIGHWAY ENGINEERING LABORATORY, CE3511,CIVIL,5
Design of Steel Structural Elements, CE3601,CIVIL,6
Structural Analysis-II, CE3602,CIVIL,6
Building Drawing And Detailing Laboratory, CE3611,CIVIL,6
PROJECT WORK/ INTERNSHIP TRAINING, CE3811,CIVIL,8
4G/5G COMMUNICATION NETWORKS, CEC331,ECE,6
EMI/EMC PRE COMPLIANCE TESTING, CEC338,ECE,6
OPTICAL COMMUNICATION & NETWORKS, CEC345,ECE,5
SATELLITE COMMUNICATION, CEC352,ECE,5
IMAGE PROCESSING, CEC366,ECE,5
Material Handling and Solid Processing Equipment, CME355,MECH,6
Renewable Energy Technologies (PE I, CME365,MECH,5
Renewable Energy Technologies, CME365,CSE,7
Renewable Energy Technologies, CME365,IT,7
Automobile Engineering (PE II, CME380,MECH,5
Non-Traditional Machining Processes (PE-III, CME387,MECH,5
Power Generation Equipment Design, CME392,MECH,6
Process Planning and Cost Estimation, CME396,MECH,6
Surface Engineering, CME397,MECH,6
Programming in C, CS3251,CSE,2
Programming in C, CS3251,IT,2
Programming in C Laboratory, CS3271,CSE,2
Programming in C Laboratory, CS3271,IT,2
Data Structures, CS3301,CSE,3
Data Structures Laboratory, CS3311,CSE,3
Digital Principles and Computer Organization, CS3351,CSE,3
Digital Principles and Computer Organization, CS3351,IT,3
Foundations of Data Science, CS3352,CSE,3
Foundations of Data Science, CS3352,IT,3
C PROGRAMMING AND DATA STRUCTURES, CS3353,ECE,3
C PROGRAMMING AND DATA STRUCTURES, CS3354,EEE,3
Data Science Laboratory, CS3361,CSE,3
Data Science Laboratory, CS3361,IT,3
C PROGRAMMING AND DATA STRUCTURES LABORATORY, CS3362,ECE,3
Object Oriented Programming Laboratory, CS3381,CSE,3
Object Oriented Programming Laboratory, CS3381,IT,3
Object Oriented Programming, CS3391,CSE,3
Object Oriented Programming, CS3391,IT,3
Algorithms, CS3401,CSE,4
Introduction to Operating Systems, CS3451,CSE,4
Introduction to Operating Systems, CS3451,IT,4
Theory of Computation, CS3452,CSE,4
Theory of Computation, CS3452,IT,4
Operating Systems Laboratory, CS3461,CSE,4
Operating Systems Laboratory, CS3461,IT,4
Database Management Systems Laboratory, CS3481,CSE,4
Database Management Systems Laboratory, CS3481,IT,4
Artificial Intelligence and Machine Learning, CS3491,CSE,4
Artificial Intelligence and Machine Learning, CS3491,IT,4
Artificial Intelligence and Machine Learning, CS3491,ECE,6
Database Management Systems, CS3492,CSE,4
Database Management Systems, CS3492,IT,4
Compiler Design, CS3501,CSE,5
Distributed Computing, CS3551,AIDS,5
Distributed Computing, CS3551,CSE,5
Distributed Computing, CS3551,IT,5
Computer Networks, CS3591,AIDS,4
Computer Networks, CS3591,CSE,5
Computer Networks, CS3591,IT,5
Embedded Systems and IoT, CS3691,IT,5
Embedded Systems and IoT, CS3691,AIDS,6
Embedded Systems and IoT, CS3691,CSE,6
Summer Internship, CS3711,CSE,7
Project Work/Internship, CS3811,CSE,8
ENGINEERING CHEMISTRY, CY3151,CIVIL,1
Engineering Chemistry, CY3151,CSE,1
ENGINEERING CHEMISTRY, CY3151,ECE,1
Engineering Chemistry, CY3151,IT,1
CIRCUIT ANALYSIS, EC3251,ECE,2
CIRCUITS ANALYSIS LABORATORY, EC3271,ECE,2
ELECTRON DEVICES AND CIRCUITS, EC3301,EEE,3
CONTROL SYSTEMS, EC3351,ECE,3
DIGITAL SYSTEMS DESIGN, EC3352,ECE,3
ELECTRONIC DEVICES AND CIRCUITS, EC3353,ECE,3
SIGNALS AND SYSTEMS, EC3354,ECE,3
ELECTRONIC DEVICES AND CIRCUITS LABORATORY, EC3361,ECE,3
NETWORKS AND SECURITY, EC3401,ECE,4
LINEAR INTEGRATED CIRCUITS, EC3451,ECE,4
ELECTROMAGNETIC FIELDS, EC3452,ECE,4
COMMUNICATION SYSTEMS LABORATORY, EC3461,ECE,4
LINEAR INTEGRATED CIRCUITS LABORATORY, EC3462,ECE,4
COMMUNICATION SYSTEMS, EC3491,ECE,4
DIGITAL SIGNAL PROCESSING, EC3492,ECE,4
WIRELESS COMMUNICATION, EC3501,ECE,5
TRANSMISSION LINES AND RF SYSTEMS, EC3551,ECE,5
VLSI AND CHIP DESIGN, EC3552,ECE,5
PROJECT WORK / INTERNSHIP, EC3811,ECE,8
UTILIZATION AND CONSERVATION OF ELECTRICAL ENERGY, EE3001,EEE,5
HVDC AND FACTS, EE3004,EEE,6
POWER QUALITY, EE3006,EEE,6
SMART GRID, EE3007,EEE,5
SPECIAL ELECTRICAL MACHINES, EE3009,EEE,5
ELECTRICAL DRIVES, EE3012,EEE,5
EMBEDDED C PROGRAMMING, EE3017,EEE,5
VLSI, EE3022,EEE,6
POWER SYSTEM TRANSIENT, EE3037,EEE,6
Electric Circuit Analysis, EE3251,EEE,2
Circuit Analysis Laboratory, EE3271,EEE,2
ELECTROMAGNETIC FIELDS, EE3301,EEE,3
DIGITAL LOGIC CIRCUITS, EE3302,EEE,3
ELECTRICAL MACHINES 1, EE3303,EEE,3
TRANSMISSION AND DISTRIBUTION, EE3401,EEE,4
LINEAR INTEGRATED CIRCUITS, EE3402,EEE,4
MEASUREMENTS AND INSTRUMENTATION, EE3403,EEE,4
MICROPROCESSOR AND MICROCONTROLLER, EE3404,EEE,4
ELECTRICAL MACHINES II, EE3405,EEE,4
ELECTRICAL MACHINES LAB II, EE3411,EEE,4
LINEAR AND DIGITAL CIRCUITS LAB, EE3412,EEE,4
MICROPROCESSOR AND MICROCONTROLLER LAB, EE3413,EEE,4
POWER SYSTEM ANALYSIS, EE3501,EEE,5
CONTROL SYSTEM, EE3503,EEE,5
POWER ELECTRONICS, EE3591,EEE,5
PROTECTION AND SWITCHGEAR, EE3601,EEE,6
POWER SYSTEM OPERATION AND CONTROL, EE3602,EEE,6
POWER SYSTEM LAB, EE3611,EEE,6
HIGH VOLTAGE ENGINEERING, EE3701,EEE,7
Project Work, EE3811,EEE,8
Embedded Systems and IOT Design, ET3491,ECE,6
IOT for Smart Systems(Open Elective, ET4251,MCA,3
PROBLEM SOLVING AND PYTHON PROGRAMMING, GE3151,CIVIL,1
Problem Solving and Python Programming, GE3151,CSE,1
PROBLEM SOLVING AND PYTHON PROGRAMMING, GE3151,ECE,1
Problem Solving and Python Programming, GE3151,IT,1
HERITAGE OF TAMIL, GE3152,CIVIL,1
Heritage of Tamils, GE3152,CSE,1
HERITAGE OF TAMILS, GE3152,ECE,1
Heritage of Tamils, GE3152,IT,1
PROBLEM SOLVING AND PYTHON PROGRAMMING LABORATORY, GE3171,CIVIL,1
Problem Solving and Python Programming Laboratory, GE3171,CSE,1
PROBLEM SOLVING AND PYTHON PROGRAMMING LABORATORY, GE3171,ECE,1
Problem Solving and Python Programming Laboratory, GE3171,IT,1
ENGLISH LABORATORY, GE3172,CIVIL,1
English Laboratory $, GE3172,CSE,1
ENGLISH LABORATORY, GE3172,ECE,1
English Laboratory , GE3172,IT,1
Engineering Graphics, GE3251,AIDS,2
